id_documento,ano,genero,local,tema,palavras,pessoas,paginas,texto
D001,1890,editorial,Capital,educação,320,0,1,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.
D002,1891,notícia,Capital,trabalho,367,3,2,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.
D003,1892,carta,Capital,progresso,414,6,3,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.
D004,1893,editorial,Interior,saúde,461,9,4,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.
D005,1894,notícia,Interior,educação,508,1,5,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.
D006,1895,carta,Interior,trabalho,555,4,6,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.
D007,1896,editorial,Capital,progresso,602,7,1,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.
D008,1897,notícia,Capital,saúde,649,10,2,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.
D009,1898,carta,Capital,educação,696,2,3,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.
D010,1899,editorial,Interior,trabalho,743,5,4,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.
D011,1900,notícia,Interior,progresso,790,8,5,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.
D012,1901,carta,Interior,saúde,837,0,6,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.
D013,1890,editorial,Capital,educação,884,3,1,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.
D014,1891,notícia,Capital,trabalho,931,6,2,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.
D015,1892,carta,Capital,progresso,978,9,3,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.
D016,1893,editorial,Interior,saúde,1025,1,4,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.
D017,1894,notícia,Interior,educação,1072,4,5,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.
D018,1895,carta,Interior,trabalho,359,7,6,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.
D019,1896,editorial,Capital,progresso,406,10,1,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.
D020,1897,notícia,Capital,saúde,453,2,2,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.
D021,1898,carta,Capital,educação,500,5,3,A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.A escola noturna amplia a instrução pública e o ensino social. O trabalho nas oficinas reúne jornada salário e associação.
D022,1899,editorial,Interior,trabalho,547,8,4,O trabalho nas oficinas reúne jornada salário e associação. A estrada e a máquina anunciam progresso e também conflito.
D023,1900,notícia,Interior,progresso,2100,0,5,A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.A estrada e a máquina anunciam progresso e também conflito. A cidade debate higiene água saúde e cuidado coletivo.
D024,1901,carta,Interior,saúde,641,3,6,A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.A cidade debate higiene água saúde e cuidado coletivo. A escola noturna amplia a instrução pública e o ensino social.
